ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
13294	Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0" fat, choice, raw	145	21.19	0.39	6.51	0	0	80	2.76	3 oz	85	1 steak	648
13317	Beef, ground, patties, frozen, cooked, broiled	295	23.05	0	21.83	0	0	77	8.805	3 oz	85	1 unit, cooked (yield from 1 lb raw meat)	313
13318	Beef, variety meats and by-products, brain, raw	143	10.86	1.05	10.3	0	0	126	2.3	1 oz	28.35	4 oz	113
13319	Beef, variety meats and by-products, brain, cooked, pan-fried	196	12.57	0	15.83	0		158	3.74	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	351
13320	Beef, variety meats and by-products, brain, cooked, simmered	151	11.67	1.48	10.53	0	0	108	2.394	3 oz	85	1 piece, cooked, excluding refuse	391
13321	Beef, variety meats and by-products, heart, raw	112	17.72	0.14	3.94	0	0	98	1.383	1 oz	28.35	4 oz	113
13322	Beef, variety meats and by-products, heart, cooked, simmered	165	28.48	0.15	4.73	0	0	59	1.404	3 oz	85		
13323	Beef, variety meats and by-products, kidneys, raw	99	17.4	0.29	3.09	0	0	182	0.868	1 oz	28.35	4 oz	113
13324	Beef, variety meats and by-products, kidneys, cooked, simmered	158	27.27	0	4.65	0	0	94	1.439	3 oz	85		
13325	Beef, variety meats and by-products, liver, raw	135	20.36	3.89	3.63	0	0	69	1.233	3 oz	85		
13326	Beef, variety meats and by-products, liver, cooked, braised	191	29.08	5.13	5.26	0	0	79	2.947	1 slice	68		
13327	Beef, variety meats and by-products, liver, cooked, pan-fried	175	26.52	5.16	4.68	0	0	77	2.53	1 slice	82		
13328	Beef, variety meats and by-products, lungs, raw	92	16.2	0	2.5	0		198	0.86	1 oz	28.35	4 oz	113
13329	Beef, variety meats and by-products, lungs, cooked, braised	120	20.4	0	3.7	0		101	1.27	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	303
13330	Beef, variety meats and by-products, mechanically separated beef, raw	276	14.97	0	23.52	0		57	11.78	1 oz	28.35	8 oz	227
13331	Beef, variety meats and by-products, pancreas, raw	235	15.7	0	18.6	0		67	6.41	1 oz	28.35	4 oz	113
13332	Beef, variety meats and by-products, pancreas, cooked, braised	271	27.1	0	17.2	0		60	5.9	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	222
13333	Beef, variety meats and by-products, spleen, raw	105	18.3	0	3	0		85	1	1 oz	28.35	4 oz	113
13334	Beef, variety meats and by-products, spleen, cooked, braised	145	25.1	0	4.2	0		57	1.39	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	308
10899	Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil	148	27.18	0.74	4.09	0	0.74	870	1.253	1 serving,  (3 oz)	85	1 slice	366
10900	Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated	112	19.38	1.02	3.43	0	1.02	1096	1.005	1 oz, whole	28.35	1 lb, whole	453.6
10901	Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, unheated	129	18.66	1.18	5.75	0	1.18	881	1.833	1 oz, spiral slice	28.35	1 lb, spiral slice	453.6
10902	Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, unheated	159	22.82	0.17	7.4	0	0.04	839	2.236	3 oz	85		
10903	Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, unheated	191	22.35	0.32	11.11	0	0.32	779	3.614	1 oz, shank	28.35	1 lb, shank	453.6
